PFAM	KO	PATHWAY	PATHWAY NAME
PF02403		4	MyComplete Bacteria
PF01668		4	MyComplete Bacteria
PF02978		4	MyComplete Bacteria
PF02882		4	MyComplete Bacteria
PF00121		4	MyComplete Bacteria
PF08275		4	MyComplete Bacteria
PF03461		4	MyComplete Bacteria
PF05698		4	MyComplete Bacteria
PF01746		4	MyComplete Bacteria
PF00750		4	MyComplete Bacteria
PF01409		4	MyComplete Bacteria
PF01509		4	MyComplete Bacteria
PF02130		4	MyComplete Bacteria
PF02367		4	MyComplete Bacteria
PF03652		4	MyComplete Bacteria
PF12344		4	MyComplete Bacteria
PF08459		4	MyComplete Bacteria
PF10458		4	MyComplete Bacteria
PF06071		4	MyComplete Bacteria
PF06689		4	MyComplete Bacteria
PF00113		5	MyComplete Archaea
PF00121		5	MyComplete Archaea
PF00162		5	MyComplete Archaea
PF00164		5	MyComplete Archaea
PF00177		5	MyComplete Archaea
PF00189		5	MyComplete Archaea
PF00203		5	MyComplete Archaea
PF00237		5	MyComplete Archaea
PF00238		5	MyComplete Archaea
PF00252		5	MyComplete Archaea
PF00253		5	MyComplete Archaea
PF00276		5	MyComplete Archaea
PF00281		5	MyComplete Archaea
PF00297		5	MyComplete Archaea
PF00298		5	MyComplete Archaea
PF00312		5	MyComplete Archaea
PF00318		5	MyComplete Archaea
PF00327		5	MyComplete Archaea
PF00334		5	MyComplete Archaea
PF00344		5	MyComplete Archaea
PF00347		5	MyComplete Archaea
PF00366		5	MyComplete Archaea
PF00368		5	MyComplete Archaea
PF00380		5	MyComplete Archaea
PF00410		5	MyComplete Archaea
PF00411		5	MyComplete Archaea
PF00416		5	MyComplete Archaea
PF00466		5	MyComplete Archaea
PF00562		5	MyComplete Archaea
PF00572		5	MyComplete Archaea
PF00573		5	MyComplete Archaea
PF00623		5	MyComplete Archaea
PF00687		5	MyComplete Archaea
PF00709		5	MyComplete Archaea
PF00736		5	MyComplete Archaea
PF00749		5	MyComplete Archaea
PF00750		5	MyComplete Archaea
PF00827		5	MyComplete Archaea
PF00831		5	MyComplete Archaea
PF00833		5	MyComplete Archaea
PF00861		5	MyComplete Archaea
PF00867		5	MyComplete Archaea
PF00900		5	MyComplete Archaea
PF00919		5	MyComplete Archaea
PF00935		5	MyComplete Archaea
PF00958		5	MyComplete Archaea
PF01000		5	MyComplete Archaea
PF01015		5	MyComplete Archaea
PF01035		5	MyComplete Archaea
PF01090		5	MyComplete Archaea
PF01092		5	MyComplete Archaea
PF01139		5	MyComplete Archaea
PF01157		5	MyComplete Archaea
PF01172		5	MyComplete Archaea
PF01174		5	MyComplete Archaea
PF01180		5	MyComplete Archaea
PF01191		5	MyComplete Archaea
PF01192		5	MyComplete Archaea
PF01194		5	MyComplete Archaea
PF01198		5	MyComplete Archaea
PF01200		5	MyComplete Archaea
PF01201		5	MyComplete Archaea
PF01246		5	MyComplete Archaea
PF01253		5	MyComplete Archaea
PF01269		5	MyComplete Archaea
PF01280		5	MyComplete Archaea
PF01282		5	MyComplete Archaea
PF01287		5	MyComplete Archaea
PF01351		5	MyComplete Archaea
PF01496		5	MyComplete Archaea
PF01509		5	MyComplete Archaea
PF01599		5	MyComplete Archaea
PF01655		5	MyComplete Archaea
PF01667		5	MyComplete Archaea
PF01725		5	MyComplete Archaea
PF01780		5	MyComplete Archaea
PF01798		5	MyComplete Archaea
PF01813		5	MyComplete Archaea
PF01849		5	MyComplete Archaea
PF01864		5	MyComplete Archaea
PF01866		5	MyComplete Archaea
PF01868		5	MyComplete Archaea
PF01884		5	MyComplete Archaea
PF01896		5	MyComplete Archaea
PF01912		5	MyComplete Archaea
PF01922		5	MyComplete Archaea
PF01941		5	MyComplete Archaea
PF01948		5	MyComplete Archaea
PF01949		5	MyComplete Archaea
PF01951		5	MyComplete Archaea
PF01967		5	MyComplete Archaea
PF01973		5	MyComplete Archaea
PF01981		5	MyComplete Archaea
PF01982		5	MyComplete Archaea
PF01990		5	MyComplete Archaea
PF02005		5	MyComplete Archaea
PF02006		5	MyComplete Archaea
PF02834		5	MyComplete Archaea
PF02938		5	MyComplete Archaea
PF02978		5	MyComplete Archaea
PF02996		5	MyComplete Archaea
PF03439		5	MyComplete Archaea
PF03484		5	MyComplete Archaea
PF03764		5	MyComplete Archaea
PF03853		5	MyComplete Archaea
PF03874		5	MyComplete Archaea
PF03876		5	MyComplete Archaea
PF03911		5	MyComplete Archaea
PF03947		5	MyComplete Archaea
PF04010		5	MyComplete Archaea
PF04019		5	MyComplete Archaea
PF04104		5	MyComplete Archaea
PF04127		5	MyComplete Archaea
PF04135		5	MyComplete Archaea
PF04406		5	MyComplete Archaea
PF04414		5	MyComplete Archaea
PF04919		5	MyComplete Archaea
PF04981		5	MyComplete Archaea
PF05221		5	MyComplete Archaea
PF05670		5	MyComplete Archaea
PF06026		5	MyComplete Archaea
PF06093		5	MyComplete Archaea
PF06418		5	MyComplete Archaea
PF06463		5	MyComplete Archaea
PF07541		5	MyComplete Archaea
PF08608		5	MyComplete Archaea
PF08704		5	MyComplete Archaea
PF09173		5	MyComplete Archaea
PF09239		5	MyComplete Archaea
PF09249		5	MyComplete Archaea
PF11987		5	MyComplete Archaea
